date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,2.72,13.23,5.43,4.38,7.46,2.722,369
2022-02-02T00:00:00.000Z,2.04,8.4,4.84,3.56,5.85,1.359,525
2022-02-03T00:00:00.000Z,3.1,24.3,6.19,5.21,9.4,4.313,508
2022-02-04T00:00:00.000Z,2.6,15.82,7.4,5.07,9.57,2.903,535
2022-02-05T00:00:00.000Z,1.33,9.68,5.09,3.5,7.1,2.025,555
2022-02-06T00:00:00.000Z,2.95,12.7,6.05,4.75,8.5,2.281,554
2022-02-07T00:00:00.000Z,5.15,16.32,10.43,7.5,12.93,2.877,546
2022-02-08T00:00:00.000Z,2.02,11.9,4.92,4.05,7.35,2.47,544
2022-02-09T00:00:00.000Z,3.28,21.42,6.88,5.59,13.48,4.533,521
2022-02-10T00:00:00.000Z,4.4,24.63,9.3,6.9,13.85,5.049,529
2022-02-11T00:00:00.000Z,5.07,17.64,9.38,7.93,12.07,2.903,530
2022-02-12T00:00:00.000Z,5.9,14.55,9.74,8.4,11.23,1.843,554
2022-02-13T00:00:00.000Z,3.28,9.38,6.62,5.4,7.4,1.311,570
2022-02-14T00:00:00.000Z,2.92,14.5,7.67,4.95,11.1,3.225,562
2022-02-15T00:00:00.000Z,0.93,9.07,4.9,2.17,6.4,2.191,571
2022-02-16T00:00:00.000Z,1.67,15.3,7.79,6.8,9.82,2.51,570
2022-02-17T00:00:00.000Z,1.7,13.9,6.49,3.55,9.23,3.219,570
2022-02-18T00:00:00.000Z,4.55,17.05,8.38,7.1,10.8,2.418,563
2022-02-19T00:00:00.000Z,4.45,15.68,9.84,6.88,12.63,3.038,570
2022-02-20T00:00:00.000Z,6.07,18.82,11.5,10.14,12.76,2.42,560
2022-02-21T00:00:00.000Z,3.88,11,7.02,5.8,8.3,1.595,554
2022-02-22T00:00:00.000Z,2.97,8.55,4.82,4.3,5.75,0.98,582
2022-02-23T00:00:00.000Z,2.13,9.82,6.45,5.35,7.35,1.638,562
2022-02-24T00:00:00.000Z,0.9,6.72,3.1,1.88,4.63,1.538,569
2022-02-25T00:00:00.000Z,0.6,20.27,2.33,1.4,6.83,3.71,544
2022-02-26T00:00:00.000Z,0.73,7.32,2.2,1.5,5.18,1.984,570
2022-02-27T00:00:00.000Z,1.3,6.7,2.83,2.2,3.67,1.045,571
2022-02-28T00:00:00.000Z,2.25,30.5,12.06,5.3,15.48,6.398,558
2022-03-01T00:00:00.000Z,2.15,16.98,7.82,5.78,13.52,4.098,578
2022-03-02T00:00:00.000Z,3.3,18.38,10.31,5.68,12.23,3.572,560
2022-03-03T00:00:00.000Z,4.47,24.77,11.35,9.38,14.8,4.574,555
2022-03-04T00:00:00.000Z,3.67,53.2,6.35,5.15,14.15,7.187,558
2022-03-05T00:00:00.000Z,2.75,12.93,6.32,5.17,8.32,2.373,569
2022-03-06T00:00:00.000Z,3.45,17.13,6.77,5.5,13.68,4.213,552
2022-03-07T00:00:00.000Z,4.88,23.2,9.88,7.68,13.73,4.305,567
2022-03-08T00:00:00.000Z,6.05,19.64,11.1,9.6,13.48,3.01,535
2022-03-09T00:00:00.000Z,4.38,36.35,14.63,9.8,22.19,8.417,545
2022-03-10T00:00:00.000Z,4.38,49.6,15.94,10.1,33.45,13.138,550
2022-03-11T00:00:00.000Z,4.75,40.22,14.48,9.3,24.27,9.457,567
2022-03-12T00:00:00.000Z,11.77,27.08,19.72,18.1,22.28,3.469,556
2022-03-13T00:00:00.000Z,6.47,21.4,13.85,8.69,17.98,4.563,557
2022-03-14T00:00:00.000Z,3.15,26.2,6.53,5.15,17.45,7.166,566
2022-03-15T00:00:00.000Z,2.29,42.75,9.3,4.59,19.09,10.986,560
2022-03-16T00:00:00.000Z,6.07,43.6,18.13,10.52,23.81,10.269,565
2022-03-17T00:00:00.000Z,12.15,54.53,31.2,16.35,43.91,13.95,557
2022-03-18T00:00:00.000Z,8.69,38.03,16.05,13.05,21.8,6.605,539
2022-03-19T00:00:00.000Z,10.3,32.13,18.75,13.44,20.8,5.224,573
2022-03-20T00:00:00.000Z,3.75,14.05,9.69,7.15,10.7,2.503,555
2022-03-21T00:00:00.000Z,0.56,5.47,2.13,1.5,2.65,0.949,529
2022-03-22T00:00:00.000Z,0.75,6.8,2,1.52,2.47,0.722,571
2022-03-23T00:00:00.000Z,0.5,6.53,1.38,1,2.45,1.028,554
2022-03-24T00:00:00.000Z,0.5,15.75,3.9,1.66,8.96,4.252,537
2022-03-25T00:00:00.000Z,0.32,5.82,2.58,1.1,3.28,1.331,563
2022-03-26T00:00:00.000Z,0.63,9.93,3.45,1.73,5.79,2.444,573
2022-03-27T00:00:00.000Z,2.75,8.88,4.72,4,5.5,1.072,559
2022-03-28T00:00:00.000Z,1.42,10.55,4.32,2.8,6.38,2.224,565
2022-03-29T00:00:00.000Z,0.7,6.15,2.35,1.9,2.92,0.899,568
2022-03-30T00:00:00.000Z,0.55,14.4,4.68,1.91,6.8,3.28,565
2022-03-31T00:00:00.000Z,0.43,14.3,1.73,1.17,4.17,2.926,573
2022-04-01T00:00:00.000Z,1,9.48,3.4,2.15,4.45,1.8,542
2022-04-02T00:00:00.000Z,0,7.5,1.35,0.2,4.38,2.101,509
2022-04-03T00:00:00.000Z,0.1,4.18,0.6,0.32,0.9,0.592,566
2022-04-04T00:00:00.000Z,0.5,5.25,2.6,1.73,3.08,0.96,571
2022-04-05T00:00:00.000Z,0.3,5,1.85,1.08,2.42,0.829,547
